Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
LOUGHEED HWY & MARY HILL BYPASS OFFRAMP,Casualty,PORT COQUITLAM,2018,1,49.250422,-122.735432
MAPLE ST & MCALLISTER AVE,Casualty,PORT COQUITLAM,2018,1,49.263795,-122.783354
MASON AVE & OXFORD ST,Casualty,PORT COQUITLAM,2018,1,49.289334,-122.763159
MCLEAN AVE & TAYLOR ST,Casualty,PORT COQUITLAM,2018,1,49.253289,-122.769119
MORGAN AVE & PITT RIVER RD,Casualty,PORT COQUITLAM,2018,1,49.249178,-122.771949
NACHT AVE & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2018,1,49.247888,-122.782722
NEWBERRY ST & PRAIRIE AVE,Casualty,PORT COQUITLAM,2018,1,49.271224,-122.747599
OXFORD ST & SUFFOLK AVE,Casualty,PORT COQUITLAM,2018,1,49.266462,-122.767154
OXFORD ST & WESTMINSTER AVE,Casualty,PORT COQUITLAM,2018,1,49.265546,-122.767155
PIONEER WAY & SETTLERS CRT,Casualty,PORT COQUITLAM,2018,1,49.234571,-122.785884
PITT RIVER RD & YUKON AVE,Casualty,PORT COQUITLAM,2018,1,49.238194,-122.771766
PRAIRIE AVE & TORONTO ST,Casualty,PORT COQUITLAM,2018,1,49.271215,-122.753161
REEVE ST & WELCHER AVE,Casualty,PORT COQUITLAM,2018,1,49.258131,-122.788067
RHINE CRES & RIVERWOOD GATE & THAMES CRES,Casualty,PORT COQUITLAM,2018,1,49.262744,-122.75426
RIVERSIDE DR & RIVERWOOD GATE,Casualty,PORT COQUITLAM,2018,1,49.264029,-122.74227
RIVERSIDE DR & YANGTZE GATE,Casualty,PORT COQUITLAM,2018,1,49.260743,-122.747815
RODGER AVE & STEWART PL,Casualty,PORT COQUITLAM,2018,1,49.24183,-122.769789
SALISBURY AVE & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2018,1,49.272468,-122.775241
SALISBURY AVE & VINCENT ST,Casualty,PORT COQUITLAM,2018,1,49.272391,-122.758988
SALISBURY AVE & WELLINGTON ST,Casualty,PORT COQUITLAM,2018,1,49.272377,-122.761676
AVON PL & DOMINION AVE & HAWKINS ST,Casualty,PORT COQUITLAM,2018,2,49.258389,-122.737823
BURLEIGH AVE & KINGSWAY AVE,Casualty,PORT COQUITLAM,2018,2,49.265303,-122.788814
BURNS RD & DOMINION AVE & FREMONT ST CONN,Casualty,PORT COQUITLAM,2018,2,49.258389,-122.728641
COAST MERIDIAN OVERPASS & COAST MERIDIAN RD,Casualty,PORT COQUITLAM,2018,2,49.260304,-122.756034
COAST MERIDIAN RD & MANNING AVE & MANNING SQ,Casualty,PORT COQUITLAM,2018,2,49.268346,-122.756128
