Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
KILBY DR & NO 4 RD,Casualty,RICHMOND,2018,4,49.185898,-123.113965
MAPLE RD & NO 2 RD,Casualty,RICHMOND,2018,4,49.146801,-123.158954
MCNEELY DR & NO 5 RD,Casualty,RICHMOND,2018,4,49.179648,-123.091614
MINORU BLVD & MINORU GATE,Casualty,RICHMOND,2018,4,49.16495,-123.14081
NO 1 RD & WILLIAMS RD,Casualty,RICHMOND,2018,4,49.141033,-123.181365
NO 2 RD & WOODWARDS RD,Casualty,RICHMOND,2018,4,49.143915,-123.158971
NO 3 RD & SAUNDERS RD,Casualty,RICHMOND,2018,4,49.143619,-123.136693
NO 5 RD & WILLIAMS RD,Casualty,RICHMOND,2018,4,49.140668,-123.091732
OAK ST BRIDGE & RIVER DR & RIVER RD,Casualty,RICHMOND,2018,4,49.198226,-123.124071
VERDUN PL & VIKING WAY,Casualty,RICHMOND,2018,4,49.193303,-123.073327
ALEXANDRA RD & HAZELBRIDGE WAY,Casualty,RICHMOND,2018,5,49.178361,-123.13398
AQUILA RD & WILLIAMS RD,Casualty,RICHMOND,2018,5,49.140716,-123.109147
ARTHUR LAING BRIDGE & GRAUER RD,Casualty,RICHMOND,2018,5,49.197511,-123.136633
ASH ST & BLUNDELL RD,Casualty,RICHMOND,2018,5,49.155483,-123.119801
BECKWITH RD & GREAT CANADIAN WAY,Casualty,RICHMOND,2018,5,49.193767,-123.124358
BLUNDELL RD & NO 1 RD,Casualty,RICHMOND,2018,5,49.155663,-123.181077
BRIDGEPORT RD & ST EDWARDS DR,Casualty,RICHMOND,2018,5,49.191999,-123.11231
CAPSTAN WAY & GARDEN CITY RD,Casualty,RICHMOND,2018,5,49.187769,-123.124771
COOK RD & COONEY RD,Casualty,RICHMOND,2018,5,49.166486,-123.131494
GRANVILLE AVE & NO 1 RD,Casualty,RICHMOND,2018,5,49.162822,-123.181203
GRAYBAR RD & WESTMINSTER HWY,Casualty,RICHMOND,2018,5,49.169367,-122.989739
NO 3 RD & PARK RD & MALL ACCESS,Casualty,RICHMOND,2018,5,49.164716,-123.136563
NO 3 RD & SABA RD,Casualty,RICHMOND,2018,5,49.168832,-123.136547
NO 4 RD & ODLIN RD,Casualty,RICHMOND,2018,5,49.18177,-123.113985
RAILWAY AVE & STEVESTON HWY,Casualty,RICHMOND,2018,5,49.133732,-123.169803
RAILWAY AVE & WILLIAMS RD,Casualty,RICHMOND,2018,5,49.141022,-123.169818
ALDERBRIDGE WAY & KWANTLEN ST,Casualty,RICHMOND,2018,6,49.177318,-123.128716
BRIDGEPORT RD & NO 6 RD,Casualty,RICHMOND,2018,6,49.191985,-123.069206
BROWNGATE RD & NO 3 RD,Casualty,RICHMOND,2018,6,49.182858,-123.136665
COOK RD & NO 3 RD & MALL ACCESS,Casualty,RICHMOND,2018,6,49.166509,-123.136548
